# Vocabulario HSK 1 y 2
爱	amar / querer / gustar mucho
八	ocho
爸爸	papá
杯子	vaso / taza
北京	Pekín
不客气	de nada
菜	plato / comida / verdura
茶	té
吃	comer
出租车	taxi
打电话	llamar por teléfono
大	grande
电脑	ordenador
电视	televisión
电影	película
东西	cosa
读	leer
对不起	perdón / lo siento
儿子	hijo
二	dos
饭馆	restaurante
飞机	avión
分钟	minuto
高兴	contento / alegre
工作	trabajo / trabajar
狗	perro
汉语	chino (idioma)
好	bueno / bien
喝	beber
后面	detrás / la parte de atrás
回	volver / vez
火车站	estación de tren
家	casa / familia
叫	llamarse / llamar / gritar
今天	hoy
九	nueve
开	abrir / encender / conducir
看	mirar / ver / leer
看见	ver (darse cuenta)
来	venir
老师	profesor
冷	frío
里	dentro / en
零	cero
六	seis
妈妈	mamá
买	comprar
猫	gato
没关系	no pasa nada
米饭	arroz (cocido)
明天	mañana
名字	nombre
年	año
女儿	hija
朋友	amigo
漂亮	guapo / bonito
苹果	manzana
七	siete
钱	dinero
前面	delante / la parte de delante
请	por favor / invitar / pedir
去	ir
热	calor / caliente
人	persona / gente
认识	conocer
日	día / sol
三	tres
商店	tienda
上	arriba / subir / encima
上午	la mañana
少	poco / escaso
十	diez
时候	momento / cuando
书	libro
水	agua
水果	fruta
睡觉	dormir
说话	hablar
四	cuatro
岁	año (de edad)
太	demasiado
天气	tiempo (meteorológico)
听	escuchar / oír
同学	compañero de clase
喂	¿diga? / oye
五	cinco
喜欢	gustar
下	abajo / bajar / siguiente
下午	la tarde
下雨	llover
先生	señor
现在	ahora
小	pequeño
小姐	señorita
写	escribir
谢谢	gracias
星期	semana
学生	estudiante
学习	estudiar / aprender
学校	escuela / colegio
一	uno
衣服	ropa
医生	médico
医院	hospital
椅子	silla
有	tener / haber
月	mes / luna
再见	adiós
中国	China
中午	mediodía
住	vivir / alojarse
桌子	mesa
字	carácter / letra
昨天	ayer
做	hacer
坐	sentarse / ir en (transporte)
白	blanco
百	cien
帮助	ayudar / ayuda
报纸	periódico
比	que (comparativo) / comparar
长	largo / crecer
唱歌	cantar
出	salir
穿	llevar puesto / vestirse
船	barco
从	desde
错	error / equivocado
打篮球	jugar al baloncesto
到	llegar / hasta
等	esperar / etcétera
弟弟	hermano menor
第一	primero
懂	entender
对	correcto / a / hacia
房间	habitación
服务员	camarero
高	alto
告诉	decir / contar
哥哥	hermano mayor
给	dar / a / para
公共汽车	autobús
公斤	kilo
公司	empresa
贵	caro / de usted
孩子	niño / hijo
好吃	rico / sabroso
号	número / día del mes
黑	negro
红	rojo
欢迎	dar la bienvenida
回答	responder
机场	aeropuerto
鸡蛋	huevo
教室	aula
姐姐	hermana mayor
介绍	presentar
进	entrar
近	cerca
就	entonces / ya
觉得	parecer / opinar / sentir
咖啡	café
开始	empezar
考试	examen / examinarse
可能	quizá / posible
课	clase / lección
快	rápido / pronto
快乐	feliz
累	cansado
离	de (distancia) / separarse
两	dos
路	camino / calle / línea
旅游	viajar / turismo
卖	vender
慢	lento
忙	ocupado
每	cada
妹妹	hermana menor
门	puerta
男人	hombre
牛奶	leche
女人	mujer
旁边	al lado
跑步	correr
便宜	barato
票	entrada / billete
妻子	esposa
起床	levantarse
千	mil
晴	despejado
去年	el año pasado
让	dejar / hacer que
上班	ir a trabajar
身体	cuerpo / salud
生病	ponerse enfermo
生日	cumpleaños
时间	tiempo / hora
事情	asunto / cosa
手表	reloj de pulsera
手机	móvil
送	enviar / regalar / acompañar
所以	así que
踢足球	jugar al fútbol
题	pregunta / problema
跳舞	bailar
外	fuera
完	acabar / terminar
玩	jugar / pasarlo bien
晚上	la noche
为什么	por qué
问	preguntar
问题	pregunta / problema
西瓜	sandía
希望	esperar / esperanza
洗	lavar
向	hacia
小时	hora
笑	reír / sonreír
新	nuevo
姓	apellidarse / apellido
休息	descansar
雪	nieve
颜色	color
眼睛	ojo
羊肉	cordero
药	medicina
也	también
已经	ya
一起	juntos
意思	significado / interés
阴	nublado
因为	porque
游泳	nadar
右边	a la derecha
鱼	pez / pescado
元	yuan
远	lejos
运动	deporte / hacer ejercicio
再	otra vez / luego
早上	la mañana temprano
丈夫	marido
找	buscar / dar el cambio
真	de verdad / auténtico
知道	saber
准备	preparar / estar a punto de
自行车	bicicleta
走	andar / irse
最	el más
左边	a la izquierda
