# Vocabulario HSK 3
阿姨	tía / señora
矮	bajo (de estatura)
爱好	afición
安静	tranquilo / silencioso
班	clase / turno
搬	mudarse / mover
半	medio
办法	manera / solución
办公室	oficina
帮忙	echar una mano
包	bolso / envolver
饱	lleno (de comer)
北方	el norte
鼻子	nariz
比较	bastante / comparar
比赛	competición / partido
必须	tener que
变化	cambio / cambiar
表示	expresar / indicar
表演	actuar / actuación
宾馆	hotel
冰箱	nevera
才	sólo entonces / sólo
菜单	carta / menú
参加	participar en
草	hierba
层	piso / capa
差	faltar / malo / diferencia
超市	supermercado
衬衫	camisa
成绩	nota / resultado
城市	ciudad
迟到	llegar tarde
出现	aparecer
厨房	cocina
春	primavera
词语	palabras / vocabulario
聪明	listo / inteligente
打扫	limpiar
打算	pensar hacer / plan
带	llevar / cinturón
担心	preocuparse
蛋糕	tarta
当然	por supuesto
灯	lámpara / luz
低	bajo
地方	lugar
地铁	metro
地图	mapa
电梯	ascensor
电子邮件	correo electrónico
东	este (punto cardinal)
冬	invierno
动物	animal
短	corto
段	tramo / párrafo
锻炼	hacer ejercicio
多么	qué (tan)
饿	tener hambre
而且	y además
耳朵	oreja
发烧	tener fiebre
发现	descubrir / darse cuenta
方便	cómodo / práctico
放	poner / soltar
放心	quedarse tranquilo
分	minuto / punto / repartir
附近	los alrededores / cerca
复习	repasar
干净	limpio
敢	atreverse
感冒	resfriarse / resfriado
刚才	hace un momento
跟	con / seguir
根据	según
更	más (comparativo)
公园	parque
故事	cuento / historia
刮风	hacer viento
关	cerrar / apagar
关系	relación
关心	preocuparse por / interesarse
关于	acerca de
国家	país
果汁	zumo
过去	el pasado / pasar
害怕	tener miedo
河	río
黑板	pizarra
护照	pasaporte
花	flor / gastar
花园	jardín
画	dibujar / cuadro
坏	malo / roto
环境	entorno / medio ambiente
换	cambiar
黄	amarillo
会议	reunión
或者	o
几乎	casi
机会	oportunidad
极	sumamente
记得	acordarse
季节	estación del año
检查	revisar / revisión
简单	sencillo
健康	salud / sano
见面	verse / quedar
讲	contar / explicar
教	enseñar
脚	pie
角	esquina / ángulo
接	recibir / recoger / conectar
街道	calle
结婚	casarse
结束	terminar
节目	programa
节日	fiesta / festividad
解决	resolver
借	prestar / pedir prestado
经常	a menudo
经过	pasar por / tras
经理	gerente
久	mucho tiempo
旧	viejo (cosas)
举行	celebrar (un acto)
句子	frase
决定	decidir / decisión
渴	tener sed
可爱	mono / adorable
刻	cuarto de hora / tallar
客人	invitado / cliente
空调	aire acondicionado
口	boca / (clasificador de personas)
哭	llorar
裤子	pantalones
蓝	azul
老	viejo / de siempre
离开	irse de
礼物	regalo
历史	historia
脸	cara
练习	practicar / ejercicio
辆	(clasificador de vehículos)
了解	conocer bien / enterarse
邻居	vecino
楼	edificio / piso
绿	verde
马	caballo
马上	enseguida
满意	satisfecho
帽子	gorro / sombrero
米	metro / arroz
面包	pan
面条	fideos
明白	entender / claro
拿	coger / llevar
奶奶	abuela (paterna)
南	sur
难	difícil
难过	apenado / triste
年级	curso (escolar)
年轻	joven
鸟	pájaro
努力	esforzarse
爬山	subir una montaña
盘子	plato
胖	gordo
啤酒	cerveza
葡萄	uva
普通话	chino mandarín estándar
其实	en realidad
其他	los demás / otro
骑	montar (en bici, caballo)
铅笔	lápiz
清楚	claro / tener claro
秋	otoño
奇怪	raro / extraño
裙子	falda
然后	luego / después
热情	simpático / entusiasta
认为	considerar / opinar
认真	serio / aplicado
容易	fácil
如果	si (condicional)
伞	paraguas
上网	conectarse a internet
生气	enfadarse
声音	sonido / voz
使	hacer que / usar
世界	mundo
瘦	delgado / estrecho
舒服	cómodo / a gusto
叔叔	tío / señor
树	árbol
数学	matemáticas
刷牙	lavarse los dientes
双	par
水平	nivel
司机	conductor
虽然	aunque
太阳	sol
糖	azúcar / caramelo
特别	especialmente / especial
疼	doler
提高	mejorar / subir
体育	educación física / deporte
甜	dulce / mono (en tono afectivo)
条	(clasificador de cosas alargadas)
同事	compañero de trabajo
同意	estar de acuerdo
头发	pelo
突然	de repente
图书馆	biblioteca
腿	pierna
完成	completar / cumplir
碗	cuenco
万	diez mil
忘记	olvidar
为	para / por
为了	para (finalidad)
位	(clasificador de personas)
文化	cultura
西	oeste
习惯	costumbre / acostumbrarse
洗手间	baño
洗澡	ducharse
夏	verano
先	primero / antes
香蕉	plátano
相同	igual / idéntico
相信	creer / confiar
像	parecerse a / como
小心	tener cuidado
校长	director (de escuela)
鞋	zapato
新闻	noticias
新鲜	fresco
信	carta / creer
行李箱	maleta
兴趣	interés
熊猫	panda
需要	necesitar
选择	elegir
眼镜	gafas
要求	exigir / requisito
爷爷	abuelo (paterno)
一定	seguro / sin falta
一共	en total
一会儿	un ratito
一样	igual
以后	después
以前	antes
以为	creer (equivocadamente)
一般	normal / en general
一边	por un lado / mientras
一直	todo el tiempo / recto
音乐	música
银行	banco
应该	deber / debería
影响	influir / influencia
用	usar / con
游戏	juego
有名	famoso
又	otra vez / además
遇到	encontrarse con
愿意	estar dispuesto a
月亮	luna
越	cuanto más
云	nube
站	estación / estar de pie
着急	angustiarse / tener prisa
照顾	cuidar
照片	foto
照相机	cámara de fotos
中间	en medio
终于	por fin
重要	importante
周末	fin de semana
主要	principal
祝	desear (felicitar)
注意	prestar atención
字典	diccionario
总是	siempre
最近	últimamente / cercano
作业	deberes
作用	efecto / función
