# Vocabulario HSK 4
爱情	amor (de pareja)
安排	organizar / disponer
安全	seguro / seguridad
暗	oscuro
按时	a su hora / puntualmente
按照	según
包括	incluir
保护	proteger
保证	garantizar / garantía
抱	abrazar / sostener en brazos
抱歉	lo siento / sentirlo
报道	informar / reportaje
报名	inscribirse
倍	vez (multiplicativo)
本来	originalmente / en principio
笨	torpe / tonto
笔记本	cuaderno / portátil
毕业	graduarse
遍	vez (de principio a fin)
标准	estándar / criterio
表达	expresar
表格	formulario / tabla
表扬	elogiar
饼干	galleta
并且	y además
博士	doctor (título)
不得不	no tener más remedio que
不管	sea cual sea
不仅	no sólo
部分	parte
擦	frotar / limpiar
猜	adivinar
材料	material
参观	visitar (un lugar)
差不多	casi / más o menos
尝	probar (sabor)
长城	la Gran Muralla
长江	el río Yangtsé
场	(clasificador de eventos) / campo
超过	superar
吵	ruidoso / discutir
成功	tener éxito / éxito
成熟	maduro
成为	convertirse en
诚实	honesto
乘坐	viajar en
吃惊	asombrarse
重新	de nuevo
抽烟	fumar
出差	viajar por trabajo
出发	salir / partir
出生	nacer
传真	fax
窗户	ventana
词典	diccionario
从来	nunca (jamás)
粗心	descuidado
答案	respuesta / solución
打扮	arreglarse / vestir
打扰	molestar
打印	imprimir
打折	rebajar (precio)
打针	poner una inyección
大概	probablemente / más o menos
大使馆	embajada
大约	aproximadamente
戴	llevar puesto (gafas, reloj)
代表	representar / representante
代替	sustituir
大夫	médico
当	ser / hacer de / cuando
当地	local / del lugar
当时	en aquel momento
刀	cuchillo
导游	guía turístico
到处	por todas partes
道歉	pedir perdón
得意	orgulloso / ufano
底	fondo / final
地球	la Tierra
地址	dirección
掉	caer / perder
调查	investigar / encuesta
丢	perder / tirar
动作	movimiento / gesto
堵车	atasco
肚子	barriga
断	romperse / cortar
对话	diálogo
对面	enfrente
顿	(clasificador de comidas y regañinas)
朵	(clasificador de flores y nubes)
而	y / pero (formal)
儿童	niño / infancia
发	enviar / emitir / pelo
发生	ocurrir
发展	desarrollar / desarrollo
法律	ley
翻译	traducir / traductor
烦恼	agobio / preocupación
反对	oponerse
反应	reacción / reaccionar
范围	ámbito / alcance
方法	método
方面	aspecto
方向	dirección (sentido)
访问	visitar / entrevistar
放弃	renunciar a
放暑假	tener vacaciones de verano
丰富	rico / abundante
风景	paisaje
否则	de lo contrario
符合	ajustarse a / cumplir
富	rico
父亲	padre
复印	fotocopiar
复杂	complicado
负责	encargarse de
改变	cambiar
干杯	¡salud!
干燥	seco
感动	conmover
感觉	sentir / sensación
感情	sentimiento / afecto
感谢	agradecer
干	hacer / seco
刚刚	justo ahora / acabar de
高级	de alto nivel / avanzado
各	cada / los distintos
个子	estatura
公里	kilómetro
工具	herramienta
工资	sueldo
共同	común / conjuntamente
够	bastar / suficiente
购物	hacer compras
孤单	solo / solitario
估计	calcular / suponer
鼓励	animar
鼓掌	aplaudir
顾客	cliente
故意	a propósito
挂	colgar
关键	clave
观众	público / espectadores
管理	gestionar
光	luz / sólo / sin nada
广播	emisión / radiar
广告	anuncio
逛	pasear / callejear
规定	norma / estipular
国际	internacional
果然	efectivamente
过程	proceso
海洋	océano
害羞	tímido
寒假	vacaciones de invierno
汗	sudor
航班	vuelo
好处	ventaja / beneficio
好像	parece que
号码	número
合格	apto / cumplir el estándar
合适	adecuado
盒子	caja
猴子	mono
厚	grueso
后悔	arrepentirse
后来	después (más tarde)
忽然	de pronto
护士	enfermero
互相	mutuamente
怀疑	dudar / sospechar
回忆	recordar / recuerdo
活动	actividad / moverse
活泼	vivaz / animado
火	fuego
获得	obtener
基础	base / fundamento
激动	emocionarse
积极	activo / con ganas
积累	acumular
极其	sumamente
集合	reunirse / conjunto
及时	a tiempo
即使	aunque (hipotético)
寄	enviar (por correo)
记者	periodista
计划	plan / planear
既然	ya que
技术	técnica / tecnología
继续	continuar
家具	muebles
加班	hacer horas extra
加油站	gasolinera
假	falso / vacaciones
价格	precio
坚持	insistir / mantener
减肥	adelgazar
减少	reducir
将来	el futuro
奖金	prima / premio en metálico
降低	bajar / reducir
交	entregar / hacer (amigos)
交流	intercambiar / comunicarse
交通	tráfico / transporte
骄傲	orgulloso / arrogante
饺子	empanadilla china
教授	catedrático
教育	educación / educar
接受	aceptar
结果	resultado / al final
节约	ahorrar
解释	explicar
尽管	aunque / sin reparos
紧张	nervioso / tenso
进行	llevar a cabo
禁止	prohibir
精彩	brillante / estupendo
精神	espíritu / ánimo
经济	economía
经历	experiencia / vivir
经验	experiencia
京剧	ópera de Pekín
警察	policía
竟然	¡nada menos que!
竞争	competir
镜子	espejo
究竟	en definitiva
举办	organizar (un acto)
拒绝	rechazar
距离	distancia
开玩笑	bromear
看法	opinión
考虑	considerar / pensárselo
棵	(clasificador de árboles)
科学	ciencia
咳嗽	toser
可怜	pobre / dar pena
可惜	qué lástima
空气	aire
恐怕	me temo que
苦	amargo / duro
宽	ancho
困	tener sueño / apuro
困难	dificultad / difícil
扩大	ampliar
拉	tirar de / arrastrar
垃圾桶	papelera
辣	picante
来不及	no dar tiempo
来得及	dar tiempo
懒	perezoso
浪费	desperdiciar
浪漫	romántico
老虎	tigre
冷静	tranquilo / sereno
理发	cortarse el pelo
理解	comprender
理想	ideal
礼貌	educación / cortesía
厉害	tremendo / temible
力气	fuerza
俩	los dos
联系	contactar / relación
凉快	fresquito
亮	brillante / claro
聊天	charlar
另外	además / otro
留	quedarse / dejar
留学	estudiar en el extranjero
流泪	llorar (lágrimas)
流利	fluido
流行	de moda / popular
乱	desordenado / a lo loco
律师	abogado
麻烦	molestia / molestar
马虎	descuidado
满	lleno
毛巾	toalla
美丽	precioso / bello
梦	sueño
密码	contraseña
免费	gratis
民族	etnia / pueblo
母亲	madre
目的	objetivo
耐心	paciencia
难受	sentirse mal
内	dentro / interior
内容	contenido
能力	capacidad
年龄	edad
农村	el campo / zona rural
弄	hacer / manipular
暖和	templado / calentito
偶尔	de vez en cuando
排列	ordenar / disponer
判断	juzgar / valorar
陪	acompañar
批评	criticar
皮肤	piel
脾气	carácter / genio
篇	(clasificador de textos)
骗	engañar
乒乓球	ping-pong
平时	normalmente
瓶子	botella
破	romper / roto
普遍	generalizado
其次	en segundo lugar
其中	entre ellos
起飞	despegar
起来	levantarse / empezar a
气候	clima
千万	sobre todo / de ninguna manera
签证	visado
墙	pared
敲	llamar (a la puerta) / golpear
桥	puente
巧克力	chocolate
亲戚	pariente
轻	ligero
轻松	relajado / fácil
情况	situación
请假	pedir permiso / día libre
请客	invitar (pagar)
穷	pobre
区别	diferencia
取	sacar / retirar
全部	todo / la totalidad
缺点	defecto
缺少	faltar
却	sin embargo
确实	realmente / cierto
群	grupo / bandada
然而	sin embargo
热闹	animado / bullicioso
人民币	yuan (moneda china)
任何	cualquier
任务	tarea / misión
扔	tirar / lanzar
仍然	todavía
日记	diario
入口	entrada
软	blando
散步	pasear
森林	bosque
沙发	sofá
商量	consultar / hablarlo
伤心	dolido / triste
稍微	un poco / ligeramente
社会	sociedad
深	profundo / oscuro (color)
申请	solicitar
甚至	incluso
生活	vida / vivir
生命	vida (biológica)
省	provincia / ahorrar
剩	sobrar
失败	fracasar
失望	decepcionado
师傅	maestro (oficio)
湿润	húmedo
狮子	león
十分	muy / del todo
实际	real / práctico
实在	de verdad / sinceramente
食品	alimento
使用	usar
试	probar / intentar
市场	mercado
适合	convenir / ir bien
适应	adaptarse
世纪	siglo
收	recibir / recoger
收入	ingresos
收拾	recoger / arreglar
首都	capital (país)
首先	en primer lugar
受不了	no soportar
受到	recibir / sufrir
售货员	dependiente
