# Palabras y caracteres de altísima frecuencia fuera de HSK 1-4
中	en medio / dentro / China
说	decir
道	decir / camino / vía
后	después / detrás
但	pero
于	en / a (formal)
时	momento / cuando / hora
可	poder / pero
并	además / y / (no) en absoluto
或	o
已	ya
其	su / ese
前	antes / delante
见	ver / encontrarse
起	levantarse / empezar / (clasificador de casos)
如	como / si
便	entonces / cómodo
这样	así / de este modo
不是	no ser / no es
成	convertirse en / lograr
事	asunto / cosa
至	hasta / hacia
此	este / esto (formal)
这种	este tipo de
同	igual / con / junto
天	día / cielo
即	es decir / enseguida
话	palabras / habla
不能	no poder
打	golpear / jugar a / hacer
自	desde / uno mismo
则	en cambio / entonces
一种	un tipo de
出来	salir / (resultar)
以及	así como
同时	al mismo tiempo
不同	distinto
因	porque / causa
曾	una vez (pasado)
两个	dos (unidades)
作为	como / en calidad de
手	mano
头	cabeza / punta
作	hacer / obra
该	dicho / deber
女	mujer / femenino
约	aproximadamente / quedar
称	llamar / denominarse
受	recibir / sufrir
应	deber / responder
之间	entre
心	corazón / mente
具有	tener / poseer
以上	más de / lo anterior
处	lugar / estar en
今	hoy / actual
间	entre / habitación
总	siempre / total
法	ley / método
第	(prefijo de los ordinales)
共	en total / común
另	otro / aparte
生	nacer / vida / crudo
各种	todo tipo de
全	todo / entero
倒	caer / al contrario / verter
相	mutuamente / aspecto
之一	uno de
按	según / pulsar
之后	después de
均	todos / por igual
有关	relacionado con
基本	básico / básicamente
入	entrar
如何	cómo
不会	no saber / no va a
据	según
一次	una vez
子	hijo / (sufijo de sustantivos)
这么	tan / así
仍	todavía
得到	obtener
进入	entrar en
目前	actualmente
气	aire / enfadar
如此	así / de tal modo
学	aprender / estudio
强	fuerte
既	ya que / tanto... como
若	si / como
原	original / llanura
未	aún no
方式	modo / forma
下来	bajar / (quedarse)
非	no / sin
除	salvo / quitar
边	lado / borde
明	claro / brillante
设	establecer / suponer
直	recto / directamente
身	cuerpo
重	pesado / importante
声	voz / sonido
有些	algunos / un poco
存在	existir
儿	hijo / (sufijo diminutivo)
有人	alguien / hay quien
不断	sin parar
知	saber
主	principal / dueño
不知	no saber
不要	no (lo hagas)
期间	durante / periodo
报	informar / periódico
类	tipo / clase
早	temprano / pronto
能够	ser capaz de
面	cara / lado / fideos
一点	un poco
初	principio / primero
性	naturaleza / sexo / -idad
型	tipo / modelo
部	parte / departamento
反	al contrario / anti-
看到	ver / darse cuenta
方	lado / cuadrado / parte
几个	unos cuantos
甚	muy / qué
常	a menudo / normal
意	intención / significado
队	equipo / fila
式	estilo / tipo
左	izquierda
个人	individuo / personal
电	electricidad / rayo
很多	muchos
及其	y su
神	dios / espíritu / genial
动	moverse / mover
相关	relacionado
最高	el más alto
仅	sólo
回来	volver
变	cambiar
图	imagen / mapa
平	plano / tranquilo
取得	conseguir
整个	entero / todo el
制	fabricar / sistema
最大	el mayor
不敢	no atreverse
今年	este año
明年	el año que viene
每天	cada día
昨晚	anoche
今晚	esta noche
上次	la vez pasada
下次	la próxima vez
这次	esta vez
开心	contento
难看	feo
好看	bonito / que se ve bien
好玩	divertido
好像	parece que
一下	un momento / un poco
一点点	un poquito
有的	algunos
所有的	todos los
什么样	de qué tipo
多久	cuánto tiempo
多长时间	cuánto tiempo
几点	qué hora
怎么办	qué hacemos
没事	no pasa nada
没什么	nada / no es nada
是不是	¿verdad? / si... o no
对吧	¿verdad?
好吗	¿vale?
真的	de verdad
假的	falso
当时	en aquel momento
从前	antiguamente
将来	el futuro
一会儿	un ratito
半天	un buen rato
到时候	llegado el momento
其实	en realidad
反正	total / de todas formas
毕竟	al fin y al cabo
尤其	sobre todo
起码	como mínimo
至于	en cuanto a
对了	por cierto
比如	por ejemplo
例如	por ejemplo
等等	etcétera
之类	y cosas así
什么的	y tal
此外	además
总之	en resumen
