# Lengua de internet y redes sociales: lo que se lee de verdad en X, Weibo o
# en etiquetas de producto. No está en HSK, pero aparece constantemente.
网友	internauta / usuario
网络	red / internet
博主	autor de la cuenta / bloguero
粉丝	seguidores / fans
关注	seguir / prestar atención
取关	dejar de seguir
点赞	dar me gusta
转发	retuitear / compartir
评论	comentario / comentar
私信	mensaje privado
拉黑	bloquear
热搜	tendencia / trending
微博	Weibo
抖音	Douyin (TikTok chino)
小红书	Xiaohongshu
视频	vídeo
直播	directo / retransmitir en directo
主播	streamer
弹幕	comentarios sobre el vídeo
账号	cuenta
帖子	publicación / post
楼主	el que abrió el hilo
截图	captura de pantalla
表情包	meme / sticker
沙雕	absurdo / descacharrante
吐槽	criticar con guasa / rajar
翻车	salir mal / pegarse el batacazo
打卡	fichar / dejar constancia
内卷	competencia asfixiante
躺平	tirar la toalla / pasar de todo
破防	romperle a uno por dentro
上头	subírsele a uno a la cabeza
绝了	brutal / increíble
牛	brutal / muy bueno
离谱	fuera de toda lógica
无语	me deja sin palabras
尴尬	violento / incómodo
社死	morirse de vergüenza
emo	bajón
爷青回	vuelve mi juventud
永远的神	un dios / el mejor de todos
笑死	me parto de risa
哈哈哈	jajaja
好家伙	¡madre mía!
求	pedir / rogar
急	urgente / tener prisa
救命	socorro
真香	al final me ha encantado
磕	shipear (una pareja)
安利	recomendar con entusiasmo
种草	dar ganas de comprar
拔草	quitarse las ganas de comprar
剁手	gastar compulsivamente
秒杀	oferta flash / arrasar
包邮	envío gratis
现货	en stock
预售	preventa
退货	devolver
差评	valoración negativa
好评	valoración positiva
正品	producto original
山寨	imitación / falsificación
限量	edición limitada
折扣	descuento
优惠券	cupón
运费	gastos de envío
库存	existencias
下单	hacer el pedido
付款	pagar
收货	recibir el pedido
客服	atención al cliente
保质期	fecha de caducidad
生产日期	fecha de fabricación
成分	ingredientes / composición
净含量	contenido neto
规格	formato / especificación
储存	conservar
冷藏	refrigerar
避光	proteger de la luz
食用	consumir
适用	apto para
注意事项	advertencias
使用方法	modo de empleo
产地	lugar de origen
厂家	fabricante
