# Caracteres sueltos frecuentes. Aparecen cuando el segmentador no reconoce
# una palabra y la descompone, y como morfemas dentro de compuestos.
国	país
民	pueblo / civil
市	ciudad / mercado
业	sector / actividad
工	trabajo / obrero
公	público / común
经	pasar por / gestionar / clásico
政	política / gobierno
区	zona / distrito
代	sustituir / generación / época
北	norte
定	fijar / decidir / sin duda
产	producir / parir
军	ejército / militar
然	así / pero
现	actual / aparecer
理	razón / gestionar / ordenar
机	máquina / ocasión
体	cuerpo / forma
表	superficie / reloj / expresar
力	fuerza
文	escritura / cultura
实	real / fruto
么	(sufijo interrogativo)
山	montaña
化	-izar / transformar
建	construir / fundar
员	miembro / empleado
安	tranquilo / instalar
城	ciudad / muralla
通	comunicar / pasar / dominar
度	grado / pasar (tiempo)
加	añadir / sumar
合	juntar / encajar
院	institución / patio
物	cosa / objeto
战	guerra / luchar
海	mar
武	marcial / militar
治	gobernar / curar
立	ponerse de pie / establecer
数	número / contar
样	aspecto / tipo
情	sentimiento / situación
利	provecho / afilado
石	piedra
级	nivel / grado
量	cantidad / medir
任	cargo / encomendar
江	río grande
资	recursos / capital
委	comité / encargar
务	asunto / deber
美	bello / EE. UU.
特	especial
期	periodo / plazo
世	mundo / generación
湖	lago
系	sistema / relación / atar
汉	han / chino
展	desplegar / exposición
科	disciplina / departamento
金	oro / dinero / metal
提	levantar / plantear
品	producto / artículo
义	sentido / justicia
王	rey / apellido Wang
社	sociedad / asociación
统	unificar / sistema
首	cabeza / primero / (clasificador de canciones)
形	forma
己	uno mismo
司	gestionar / departamento
目	ojo / apartado
基	base
领	cuello / dirigir / recibir
计	calcular / plan
权	poder / derecho
流	fluir / corriente
命	vida / destino / orden
果	fruta / resultado
清	claro / limpio / dinastía Qing
活	vivir / vivo
州	prefectura / estado
华	China / espléndido
解	resolver / explicar / soltar
议	discutir / propuesta
程	proceso / recorrido
决	decidir
导	guiar / conducir
术	técnica / arte
府	gobierno / residencia
保	proteger / garantizar
管	gestionar / tubo / ocuparse de
结	atar / nudo / resultado
师	maestro / profesional
达	alcanzar / llegar a
族	etnia / clan
色	color
京	capital / Pekín
规	norma / regla
县	condado / comarca
改	cambiar / corregir
风	viento / estilo
运	transportar / suerte
什	qué
组	grupo / formar
布	tela / anunciar
济	socorrer / río Ji
党	partido
论	teoría / discutir
技	técnica / habilidad
选	elegir
记	anotar / recordar
斯	(carácter usado en transcripciones)
职	puesto / cargo
界	ámbito / frontera
何	qué / cuál
眼	ojo
兵	soldado / tropa
传	transmitir / biografía
空	vacío / cielo
农	agricultura / campesino
集	reunir / recopilación
联	unir / asociar
古	antiguo
广	amplio / ancho
质	calidad / materia
阳	sol / yang / positivo
增	aumentar
历	historia / pasar por
史	historia
专	especializado / exclusivo
官	funcionario / oficial
商	comercio / consultar
步	paso / andar
认	reconocer / admitir
车	coche / vehículo
林	bosque
必	necesariamente
游	nadar / recorrer
举	levantar / celebrar / ejemplo
线	línea / hilo
言	palabra / decir
皇	emperador / imperial
土	tierra / suelo
团	grupo / bola
考	examinar / comprobar
德	virtud / moral / Alemania
备	preparar / equipar
研	investigar
争	disputar / luchar por
具	herramienta / poseer
李	ciruela / apellido Li
众	multitud / público
调	ajustar / trasladar / tono
感	sentir / emoción
转	girar / cambiar / reenviar
革	reformar / cuero
持	sostener / mantener
始	empezar
英	Inglaterra / brillante
克	gramo / superar
士	caballero / especialista
尔	(carácter usado en transcripciones) / tú
思	pensar
根	raíz / (clasificador de cosas alargadas)
格	cuadro / estilo / norma
造	crear / fabricar
较	comparativamente / comparar
际	entre / ocasión
亲	propio / pariente / besar
单	solo / lista / sencillo
价	precio / valor
校	escuela / revisar
器	aparato / recipiente
周	semana / alrededor
亚	Asia / sub-
候	esperar / tiempo
功	mérito / función
属	pertenecer / categoría
积	acumular
准	exacto / permitir / norma
究	investigar / al final
育	criar / educar
装	instalar / vestir / fingir
许	permitir / bastante
参	participar / consultar
令	orden / hacer que
观	observar / punto de vista
精	fino / esencia / excelente
办	gestionar / hacer
帝	emperador
复	repetir / responder / volver
影	sombra / imagen / cine
告	decir / avisar
整	entero / ordenar
构	estructura / construir
料	material / prever
随	seguir / según
划	trazar / planificar
象	elefante / imagen
容	contener / aspecto / permitir
示	mostrar / indicar
投	lanzar / invertir
势	fuerza / tendencia
值	valor / valer
夫	marido / hombre
网	red
望	mirar a lo lejos / esperar
源	fuente / origen
息	aliento / noticia / descansar
语	lengua / decir
股	acción (bolsa) / muslo
铁	hierro
派	enviar / corriente / escuela
速	velocidad / rápido
怎	cómo
需	necesitar
片	lámina / trozo / (clasificador de zonas)
律	ley / norma
纪	registro / era
支	apoyar / rama / (clasificador de objetos finos)
况	situación / además
病	enfermedad / enfermar
境	frontera / situación
证	demostrar / certificado
编	tejer / editar / inventar
局	oficina / partida / situación
且	y además / de momento
列	ordenar / fila
觉	darse cuenta / dormir
服	ropa / obedecer / tomar (medicina)
居	vivir / residencia
乐	alegre / música
企	empresa / pretender
引	tirar de / atraer / citar
标	marca / objetivo
确	seguro / confirmar
织	tejer
青	verde azulado / joven
志	voluntad / registro
率	tasa / dirigir
项	apartado / (clasificador de proyectos)
飞	volar
球	balón / esfera
节	fiesta / nudo / ahorrar
察	observar
龙	dragón
施	aplicar / dar
消	desaparecer / eliminar
客	invitado / cliente
失	perder
存	guardar / existir
般	tipo / manera
击	golpear / atacar
防	prevenir / defender
落	caer / quedarse atrás
显	mostrarse / evidente
罗	red / apellido Luo
