# Vocabulario cotidiano que faltaba: verbos frecuentes, compuestos verbo-objeto
# y sustantivos de uso diario que no entran en las listas HSK bajas.
你好	hola
您好	hola (usted)
大家好	hola a todos
早上好	buenos días
晚安	buenas noches
再见	adiós
拜拜	chao
谢谢你	gracias
不用谢	no hay de qué
辛苦了	gracias por el esfuerzo
偷	robar
抢	arrebatar / atracar
骗	engañar
藏	esconder
找到	encontrar
丢失	extraviar
捡	recoger del suelo
拾	recoger
搬运	transportar
装	cargar / instalar / fingir
卸	descargar
修理	reparar
清洗	lavar a fondo
擦	frotar / limpiar
扫	barrer
倒	verter / volcar
盛	servir (comida)
切	cortar
煮	hervir / cocer
炒	saltear
煎	freír a la plancha
炸	freír
烤	asar / hornear
蒸	cocer al vapor
拌	mezclar / aliñar
尝	probar (sabor)
咬	morder
嚼	masticar
吞	tragar
喂	dar de comer
饿死	morirse de hambre
渴死	morirse de sed
汉字	carácter chino
中文	chino (lengua)
拼音	pinyin
声调	tono
笔画	trazo
部首	radical
简体	caracteres simplificados
繁体	caracteres tradicionales
发音	pronunciación
口语	lengua hablada
书面语	lengua escrita
有意思	interesante
没意思	aburrido / sin gracia
不错	bastante bien
了不起	impresionante
糟糕	un desastre
可怕	espantoso
惊讶	sorprendido
放松	relajarse
着凉	coger frío
发抖	temblar
出汗	sudar
打喷嚏	estornudar
打呼噜	roncar
发呆	quedarse embobado
走神	despistarse
犹豫	dudar / titubear
后退	retroceder
前进	avanzar
停下	pararse
继续	seguir
重复	repetir
改正	corregir
检查	revisar
核对	cotejar
比较	comparar
选	elegir
挑	escoger
换成	cambiar por
变成	convertirse en
成为	llegar a ser
属于	pertenecer a
包含	contener
包括	incluir
排除	descartar
分成	dividir en
合并	fusionar
连接	conectar
断开	desconectar
打开	abrir / encender
关上	cerrar
关掉	apagar
按下	pulsar
点击	hacer clic
滑动	deslizar
输入	introducir / teclear
删除	borrar
保存	guardar
下载	descargar
上传	subir (un archivo)
分享	compartir
复制	copiar
粘贴	pegar
搜索	buscar
设置	ajustes / configurar
登录	iniciar sesión
注册	registrarse
退出	salir
充电	cargar (la batería)
没电	sin batería
信号	cobertura / señal
流量	datos móviles
无线	inalámbrico
屏幕	pantalla
键盘	teclado
耳机	auriculares
充电器	cargador
电池	batería
软件	programa / software
应用	aplicación
系统	sistema
版本	versión
更新	actualizar
安装	instalar
卸载	desinstalar
故障	avería
维修	reparación
保修	garantía
说明书	manual de instrucciones
包装	envase / embalaje
标签	etiqueta
条码	código de barras
重量	peso
体积	volumen
长度	longitud
宽度	anchura
高度	altura
尺寸	talla / medidas
颜色	color
款式	modelo / estilo
材质	material
棉	algodón
丝	seda
麻	lino
毛	lana / pelo
皮革	cuero
塑料	plástico
金属	metal
玻璃	cristal
木头	madera
纸	papel
油	aceite
醋	vinagre
酱油	salsa de soja
辣椒	guindilla
花椒	pimienta de Sichuan
葱	cebolleta
姜	jengibre
蒜	ajo
洋葱	cebolla
土豆	patata
胡萝卜	zanahoria
白菜	col china
豆腐	tofu
鸡肉	pollo
牛肉	ternera
猪肉	cerdo
鱼肉	pescado
虾	gamba
蛋	huevo
奶	leche
面	fideos / harina
粥	gachas de arroz
包子	bollo relleno
馒头	bollo al vapor
烧烤	barbacoa
火锅	olla caliente
外卖	comida a domicilio
堂食	para comer allí
打包	para llevar
点菜	pedir la comida
结账	pagar la cuenta
发票	factura
小费	propina
预订	reservar
排队	hacer cola
座位	asiento
厕所	servicio / aseo
出口	salida
入口	entrada
楼梯	escalera
电梯	ascensor
走廊	pasillo
阳台	balcón
卧室	dormitorio
客厅	salón
厨房	cocina
浴室	cuarto de baño
窗	ventana
钥匙	llave
锁	cerradura / cerrar con llave
房东	casero
房租	alquiler
水电	agua y luz
垃圾	basura
分类	clasificar
回收	reciclar
快递	mensajería / paquete
包裹	paquete
地址	dirección
邮编	código postal
收件人	destinatario
签收	firmar la recepción
班机	vuelo
车票	billete
站台	andén
换乘	hacer transbordo
迟到	llegar tarde
早到	llegar pronto
准点	puntual
延误	retraso
取消	cancelar
改签	cambiar el billete
退票	devolver el billete
行程	itinerario
出租	alquilar
保险	seguro
急诊	urgencias
挂号	pedir cita (médica)
处方	receta
药片	pastilla
过敏	alergia
受伤	herirse
康复	recuperarse
体检	revisión médica
疫苗	vacuna
口罩	mascarilla
消毒	desinfectar
要不	o si no
不然	si no
然而	sin embargo
无所谓	me da igual
随便你	como quieras
看情况	depende
差不多了	ya casi está
马上来	voy enseguida
等一下	espera un momento
稍等	un momento
慢点	más despacio
快点	date prisa
加油	¡ánimo!
小心点	ten cuidado
放心吧	tranquilo
没问题	sin problema
当然可以	por supuesto que sí
不好意思	perdona / qué corte
麻烦你	si no te importa
劳驾	disculpe
请问	perdone, una pregunta
吃饭	comer
看书	leer
坐飞机	ir en avión
坐车	ir en coche / coger el transporte
坐地铁	ir en metro
饭	comida / arroz cocido
忘	olvidar
忘记	olvidar
店	tienda / local
姐妹	hermanas
兄弟	hermanos
绝	de lo mejor / cortar / agotarse
闭眼	con los ojos cerrados / a ciegas
闭	cerrar
踩	pisar
踩雷	meter la pata / llevarse un chasco
雷	trueno / mina / chasco
净	neto / limpio / sólo
含量	contenido
置于	colocar en
避免	evitar
直射	incidir directamente
阴凉	fresco y a la sombra
干燥	seco
克	gramo
